"","gene","tissue","prot","mrna"
"951","ENSG00000102390","uterus",1.38292081357459e-05,1.94999999837228e-05
"967","ENSG00000102879","uterus",5.05309448564183e-05,1.42999999846869e-05
"968","ENSG00000102882","uterus",4.27929087834649e-05,6.28000000380021e-05
"980","ENSG00000103018","uterus",3.40263254056876e-05,4.87999999996954e-05
"981","ENSG00000103024","uterus",3.93102693887167e-05,2.48000000099238e-05
"983","ENSG00000103035","uterus",3.15249745034801e-05,4.5799999999592e-05
"984","ENSG00000103043","uterus",2.21850655367081e-06,1.3300000001008e-05
"989","ENSG00000103187","uterus",3.10583334973721e-05,5.24999999509256e-05
"994","ENSG00000103266","uterus",6.92854980206207e-06,4.64000000475565e-05
"996","ENSG00000103275","uterus",5.25928437252172e-05,6.48000000193084e-05
"1002","ENSG00000103363","uterus",5.7370120093925e-05,0.000117999999916824
"1004","ENSG00000103381","uterus",2.28660838121999e-05,7.69999999694191e-06
"1005","ENSG00000103415","uterus",4.15363042531429e-06,2.24999999942305e-05
"1008","ENSG00000103490","uterus",1.5518683003937e-05,5.49999999374079e-06
"1013","ENSG00000103544","uterus",2.8325410206395e-06,2.10000000128661e-05
"1020","ENSG00000103876","uterus",4.31022396233049e-05,1.27000000012879e-05
"1021","ENSG00000103966","uterus",0.000103814383439404,1.58999999882679e-05
"1027","ENSG00000104142","uterus",6.54165288882483e-07,8.1000000022633e-06
"1032","ENSG00000104324","uterus",0.000975544033304022,7.0299999996791e-05
"1033","ENSG00000104325","uterus",8.3521293950268e-05,3.68999999864854e-05
"1040","ENSG00000104388","uterus",0.00011519786652812,9.1600000070056e-05
"1041","ENSG00000104408","uterus",1.47736112876633e-05,0.000236399999886116
"1043","ENSG00000104419","uterus",8.90072075503465e-05,7.13000000243199e-05
"1050","ENSG00000104522","uterus",6.6792008144076e-05,2.10000000128661e-05
"1052","ENSG00000104529","uterus",6.88049697102661e-05,0.000323300000289168
"1058","ENSG00000104687","uterus",7.04735266353226e-05,2.06999999782217e-05
"1061","ENSG00000104763","uterus",0.000292433779336265,8.59999999517682e-05
"1062","ENSG00000104774","uterus",8.22705182341652e-07,1.69999999851929e-05
"1063","ENSG00000104805","uterus",3.10429359622041e-05,0.000105299999955027
"1065","ENSG00000104823","uterus",9.25865449836087e-05,8.01999999475243e-05
"1066","ENSG00000104824","uterus",3.92520212239568e-05,8.39000000330929e-05
"1068","ENSG00000104835","uterus",2.59262891912295e-06,1.12999999874218e-05
"1080","ENSG00000104969","uterus",2.0316793525757e-05,2.68999999998508e-05
"1085","ENSG00000105193","uterus",4.8311534274403e-05,0.000808199999801568
"1088","ENSG00000105220","uterus",0.000429193774644964,5.7799999944032e-05
"1091","ENSG00000105254","uterus",2.94738229925177e-05,5.36000000379179e-05
"1093","ENSG00000105323","uterus",3.95730738020518e-06,7.74000000565149e-05
"1097","ENSG00000105372","uterus",3.08304586808074e-05,0.000924400000410649
"1098","ENSG00000105379","uterus",7.71215493792858e-05,2.78000000052441e-05
"1101","ENSG00000105401","uterus",1.59233406089685e-05,0.000105800000073287
"1102","ENSG00000105402","uterus",3.60784719198607e-05,7.67999999944275e-05
"1112","ENSG00000105552","uterus",8.06566555672733e-06,1.43999999968418e-05
"1113","ENSG00000105568","uterus",0.000116660767960649,9.93999999090641e-05
"1120","ENSG00000105655","uterus",4.26408186494608e-06,5.24000000019635e-05
"1121","ENSG00000105669","uterus",1.39400220269099e-05,5.07999999667896e-05
"1126","ENSG00000105755","uterus",8.97234193204607e-06,1.8399999999596e-05
"1130","ENSG00000105819","uterus",1.177880440258e-06,5.08999999605313e-05
